央视,#genre#
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
RT News,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
RT Documentary,https://rt-rtd.rttv.com/live/rtdoc/playlist_4500Kb.m3u8


测试,#genre#
3进1出,http://192.168.1.99:5050/udp/239.49.0.200:8000
精彩推荐,http://192.168.1.99:5050/udp/239.49.8.34:8612
BesTV4k 测试,http://192.168.1.99:5050/udp/239.49.0.202:8000
BesTV4k 测试,http://192.168.1.99:5050/udp/239.49.0.201:8000
BesTV4k 测试,http://192.168.1.99:5050/udp/239.49.0.144:8000
